中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.218.204.128,443,8.218.204.128,HK,Hong Kong,中转,46 ms,20 Mbps,2636 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,47 ms,0 Mbps,22 kB/s
8.210.118.122,443,8.210.118.122,HK,Hong Kong,中转,44 ms,114 Mbps,14643 kB/s
47.242.176.185,443,47.242.176.185,HK,Hong Kong,中转,47 ms,156 Mbps,20070 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,69 ms,380 Mbps,48742 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,148 ms,120 Mbps,15462 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,49 ms,0 Mbps,17 kB/s
47.57.14.118,443,198.11.178.111,US,San Jose,隧道,48 ms,1 Mbps,198 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,151 ms,79 Mbps,10137 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,91 ms,3 Mbps,508 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,159 ms,39 Mbps,5016 kB/s
103.160.204.175,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
103.160.204.71,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,148 ms,8 Mbps,1052 kB/s
35.197.23.75,443,34.168.165.202,US,Seattle,隧道,174 ms,68 Mbps,8764 kB/s
47.236.145.85,443,47.236.145.85,SG,Singapore,中转,200 ms,48 Mbps,6210 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,194 ms,45 Mbps,5859 kB/s
140.238.65.48,443,140.238.65.48,GB,London,中转,215 ms,47 Mbps,6088 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,187 ms,94 Mbps,12083 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,226 ms,29 Mbps,3803 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,152 ms,15 Mbps,2042 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,218 ms,0 Mbps,54 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,229 ms,3 Mbps,502 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,210 ms,34 Mbps,4435 kB/s
35.230.79.26,443,34.168.165.202,US,Seattle,隧道,184 ms,3 Mbps,472 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,177 ms,1 Mbps,246 kB/s
47.236.117.48,443,47.236.117.48,SG,Singapore,中转,208 ms,75 Mbps,9661 kB/s
141.147.97.37,443,141.147.97.37,GB,London,中转,215 ms,27 Mbps,3561 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,224 ms,2 Mbps,288 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,262 ms,3 Mbps,417 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,148 ms,1 Mbps,208 kB/s
140.238.1.158,443,140.238.1.158,KR,Tokyo,中转,90 ms,69 Mbps,8908 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,164 ms,117 Mbps,15052 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,225 ms,20 Mbps,2603 kB/s
168.138.71.220,443,168.138.71.220,CA,Montréal,中转,224 ms,1 Mbps,236 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,1243 ms,11 Mbps,1512 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,1236 ms,68 Mbps,8709 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,48 ms,3 Mbps,384 kB/s
146.56.44.85,443,146.56.44.85,KR,Tokyo,中转,1118 ms,19 Mbps,2516 kB/s
8.219.144.168,443,8.219.144.168,SG,Singapore,中转,225 ms,67 Mbps,8644 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,209 ms,0 Mbps,76 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,300 ms,1 Mbps,229 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,297 ms,0 Mbps,24 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,307 ms,7 Mbps,958 kB/s
154.211.8.2,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,343 ms,0 Mbps,26 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,217 ms,26 Mbps,3384 kB/s
154.211.8.5,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
154.211.8.3,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,238 ms,11 Mbps,1488 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,210 ms,7 Mbps,968 kB/s
154.211.8.9,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
154.211.8.10,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
154.211.8.11,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.0,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
154.211.8.13,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.7,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
3.138.59.154,443,3.130.94.216,US,,隧道,216 ms,0 Mbps,114 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,243 ms,29 Mbps,3733 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,143 ms,135 Mbps,17305 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,55 ms,219 Mbps,28057 kB/s
154.211.8.16,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
154.211.8.20,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
154.211.8.12,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.1,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.19,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,181 ms,10 Mbps,1300 kB/s
154.211.8.24,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.18,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
154.211.8.23,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.8,443,0.0.0.0,CN,San Jose,官方,1191 ms,null Mbps,null kB/s
154.211.8.25,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
154.211.8.32,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
204.110.220.3,443,204.110.220.67,US,,隧道,165 ms,88 Mbps,11264 kB/s
154.211.8.29,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.22,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.21,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
54.203.85.46,443,204.110.220.58,US,,隧道,165 ms,91 Mbps,11673 kB/s
154.211.8.42,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
154.211.8.41,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.33,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,91 ms,2 Mbps,381 kB/s
154.211.8.48,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
154.211.8.35,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.37,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.40,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
